,bill,title,label
0,1,"To award a congressional gold medal to Margaret Thatcher, in recognition of her dedication to the values of free markets and free minds.",fail
1,2,"To make determinations by the United States Trade Representative under title III of the Trade Act of 1974 reviewable by the Court of International Trade and to ensure that the United States Trade Representative considers petitions to enforce United States trade rights, and for other purposes.",fail
2,3,To strengthen and protect America in the war on terror.,fail
3,4,"To reduce healthcare costs, expand access to affordable healthcare coverage, and improve healthcare and strengthen the healthcare safety net, and for other purposes.     IN THE SENATE OF THE UNITED STATES  July 27, 2005",fail
4,5,"To amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",success
5,6,"To amend the Internal Revenue Code of 1986 to provide permanent family tax relief, to reauthorize and improve the program of block grants to States for temporary assistance for needy families and to improve access to quality child care, and to provide incentives for charitable contributions by individuals and businesses, to improve the public",fail
6,7,"To increase American jobs and economic growth by making permanent the individual income tax rate reductions, the reduction in the capital gains and dividend tax rates, and the repeal of the estate, gift, and generation-skipping transfer taxes.",fail
7,8,"To amend title 18, United States Code, to prohibit taking minors across State lines in circumvention of laws requiring the involvement of parents in abortion decisions.",fail
8,9,"To improve American competitiveness in the global economy by improving and strengthening Federal education and training programs, and for other purposes.",fail
9,10,"To enhance the energy security of the United States, and for other purposes.",fail
10,11,"To amend title 10, United States Code, to ensure that the strength of the Armed Forces and the protections and benefits for members of the Armed Forces and their families are adequate for keeping the commitment of the people of the United States to support their servicemembers, and for other purposes.",fail
11,12,"To combat international terrorism, and for other purposes.",fail
12,13,"To amend titles 10 and 38, United States Code, to expand and enhance health care, mental health, transition, and disability benefits for veterans, and for other purposes.",fail
13,14,"To provide fair wages for America's workers, to create new jobs through investment in America, to provide for fair trade and competitiveness, and for other purposes.",fail
14,15,"To improve education for all students, and for other purposes.",fail
15,16,"To reduce to the cost of quality health care coverage and improve the availability of health care coverage for all Americans.     IN THE SENATE OF THE UNITED STATES  January 24, 2005  Mr. Kennedy (for himself, Mr. Reid, Ms. Stabenow, Mr. Corzine, Mr. Schumer, Ms. Mikulski, Mr. Akaka, Mr. Inouye, Mr. Levin, Mr. Kerry, Mr.",fail
16,17,"To amend the Help America Vote Act of 2002 to protect voting rights and to improve the administration of Federal elections, and for other purposes.",fail
17,18,To amend title XVIII of the Social Security Act to make improvements to the medicare program for beneficiaries.,fail
18,19,To reduce budget deficits by restoring budget enforcement and strengthening fiscal responsibility.,fail
19,20,"To expand access to preventive health care services that help reduce unintended pregnancy, reduce the number of abortions, and improve access to women's health care.",fail
20,21,"To provide for homeland security grant coordination and simplification, and for other purposes.",fail
21,22,To improve patient access to health care services and provide improved medical care by reducing the excessive burden the liability system places on the health care delivery system.,fail
22,23,To improve women's access to health care services and provide improved medical care by reducing the excessive burden the liability system places on the delivery of obstetrical and gynecological services.,fail
23,24,To establish an emergency reserve fund to provide timely financial assistance in response to domestic disasters and emergencies.,fail
24,25,"To promote freedom, fairness, and economic opportunity by repealing the income tax and other taxes, abolishing the Internal Revenue Service, and enacting a national sales tax to be administered primarily by the States.     IN THE SENATE OF THE UNITED STATES  January 24, 2005",fail
25,26,"To establish the Northern Appalachian Economic Development Commission, and for other purposes.",fail
26,27,To amend the Internal Revenue Code of 1986 to make permanent the deduction of State and local general sales taxes.,fail
27,28,To amend section 7209 of the Intelligence Reform and Terrorism Prevention Act of 2004 and for other purposes.,fail
28,29,"To amend title 18, United States Code, to limit the misuse of Social Security numbers, to establish criminal penalties for such misuse, and for other purposes.",fail
29,30,To provide appropriate protection to attorney-client privileged communications and attorney work product.,fail
30,31,"To amend the Electronic Fund Transfer Act to extend certain consumer protections to international remittance transfers of funds originating in the United States, and for other purposes.",fail
31,32,"To enhance the benefits and protections for members of the reserve components of the Armed Forces who are called or ordered to extended active duty, and for other purposes.",fail
32,33,To prohibit energy market manipulation.,fail
33,34,"To provide for the development of a global tsunami detection and warning system, to improve existing communication of tsunami warnings to all potentially affected nations, and for other purposes.",fail
34,35,To amend the Internal Revenue Code of 1986 to extend the credit for production of electricity from wind.,fail
35,36,"To amend title 10, United States Code, to recognize the United States Military Cancer Institute as an establishment within the Uniformed Services University of the Health Sciences, to require the Institute to promote the health of members of the Armed Forces and their dependents by enhancing cancer research and treatment, to provide for a study of the epidemiological causes of cancer among various ethnic groups for",fail
36,37,To extend the special postage stamp for breast cancer research for 2 years.,success
37,38,"To enhance and improve benefits for members of the National Guard and Reserves who serve extended periods on active duty, and for other purposes.",fail
38,39,To establish a coordinated national ocean exploration program within the National Oceanic and Atmospheric Administration.,fail
39,40,"To amend title XVIII of the Social Security Act to provide medicare beneficiaries with access to geriatric assessments and chronic care management, and for other purposes.",fail
40,41,To amend the Safe Drinking Water Act to exempt nonprofit small public water systems from certain drinking water standards relating to naturally occurring contaminants.,fail
41,42,"To amend title 10, United States Code, to increase the death gratuity payable with respect to deceased members of the Armed Forces, and for other purposes.",fail
42,43,"To provide certain enhancements to the Montgomery GI Bill Program for certain individuals who serve as members of the Armed Forces after the September 11, 2001, terrorist attacks, and for other purposes.",fail
43,44,"To amend title 10, United States Code, to increase the amount of the military death gratuity from $12,000 to $100,000.",fail
44,45,"To amend the Controlled Substances Act to lift the patient limitation on prescribing drug addiction treatments by medical practitioners in group practices, and for other purposes.",success
45,46,"To authorize the extension of unconditional and permanent nondiscriminatory treatment (permanent normal trade relations treatment) to the products of Ukraine, and for other purposes.",fail
46,47,To provide for the exchange of certain Federal land in the Santa Fe National Forest and certain non-Federal land in the Pecos National Historical Park in the State of New Mexico.,fail
47,48,"To reauthorize appropriations for the New Jersey Coastal Heritage Trail Route, and for other purposes.",fail
48,49,To establish a joint Federal-State Floodplain and Erosion Mitigation Commission for the State of Alaska.,fail
