,bill,title,label
0,2]>>,,fail
1,3,"To control crime, and for other purposes.",fail
2,5,To clarify the war powers of Congress and the President in the post- Cold War period.,fail
3,6,"To replace certain Federal job training programs by developing a training account system to provide individuals the opportunity to choose the type of training and employment-related services that most closely meet the needs of such individuals, and for other purposes.",fail
4,7,"To provide for health care reform through health insurance market reform and assistance for small business and families, and for other purposes.     IN THE SENATE OF THE UNITED STATES  January 4, 1995  Mr. Daschle (for himself, Mr. Kennedy, Mr. Reid, Ms. Mikulski, Mr.",fail
5,8,"To amend title IV of the Social Security Act to reduce teenage pregnancy, to encourage parental responsibility, and for other purposes.     IN THE SENATE OF THE UNITED STATES  January 4, 1995  Mr. Daschle (for himself, Mr. Breaux, Ms. Mikulski, Mr. Rockefeller,",fail
6,9,"To direct the Senate and the House of Representatives to enact legislation on the budget for fiscal years 1996 through 2003 that would balance the budget by fiscal year 2003.     IN THE SENATE OF THE UNITED STATES  January 4, 1995  Mr. Daschle (for himself, Mr. Exon, Ms. Mikulski, Mr. Breaux, Mr. Robb,",fail
7,10,"To make certain laws applicable to the legislative branch of the Federal Government, to reform lobbying registration and disclosure requirements, to amend the gift rules of the Senate and the House of Representatives, and to reform the Federal election laws applicable to the Congress.     IN THE SENATE OF THE UNITED STATES  January 4, 1995",fail
8,11,"To award grants to States to promote the development of alternative dispute resolution systems for medical malpractice claims, to generate knowledge about such systems through expert data gathering and assessment activities, to promote uniformity and to curb excesses in State liability systems through federally-mandated liability reforms, and for other purposes.",fail
9,12,"To amend the Internal Revenue Code of 1986 to encourage savings and investment through individual retirement accounts, and for other purposes.",fail
10,13,To require a Congressional Budget Office analysis of each bill or joint resolution reported in the Senate or House of Representatives to determine the impact of any Federal mandates in the bill or joint resolution.,fail
11,14,[Report No. 104-10]  [Report No. 104-14],fail
12,15,To provide that professional baseball teams and leagues composed of such teams shall be subject to the antitrust laws.,fail
13,16,"To establish a commission to review the dispute settlement reports of the World Trade Organization, and for other purposes.     IN THE SENATE OF THE UNITED STATES  January 4, 1995  Mr. Dole introduced the following bill; which was read twice and referred to the Committee on Finance",fail
14,17,"To promote a new urban agenda, and for other purposes.",fail
15,18,"To provide improved access to health care, enhance informed individual choice regarding health care services, lower health care costs through the use of appropriate providers, improve the quality of health care, improve access to long-term care, and for other purposes.",fail
16,19,"To amend title IV of the Social Security Act to enhance educational opportunity, increase school attendance, and promote self-sufficiency among welfare recipients.",fail
17,20,"To amend title 18, United States Code, with respect to the licensing of ammunition manufacturers, and for other purposes.",fail
18,21,"To terminate the United States arms embargo applicable to the Government of Bosnia and Herzegovina.     IN THE SENATE OF THE UNITED STATES  January 4, 1995  Mr. Dole (for himself, Mr. Lieberman, Mr. Helms, Mr. Thurmond, Mr. McConnell, Mr. Lott, Mr. Feingold, Mr. D'Amato, Mr. McCain, Mr. Biden,",fail
19,22,"To require Federal agencies to prepare private property taking impact analyses.     IN THE SENATE OF THE UNITED STATES  January 4, 1995  Mr. Dole (for himself, Mr. Heflin, Mr. Brown, Mr. Burns, Mr. Hatch, Mr. Nickles, Mr. Craig, and Mrs. Kassebaum) introduced the following bill;",fail
20,23,To protect the First Amendment rights of employees of the Federal Government.,fail
21,24,"To make it a violation of a right secured by the Constitution and laws of the United States to perform an abortion with knowledge that such abortion is being performed solely because of the gender of the fetus, and for other purposes.",fail
22,25,To stop the waste of taxpayer funds on activities by Government agencies to encourage its employees or officials to accept homosexuality as a legitimate or normal lifestyle.,fail
23,26,"To amend the Civil Rights Act of 1964 to make preferential treatment an unlawful employment practice, and for other purposes.     IN THE SENATE OF THE UNITED STATES  January 4, 1995",fail
24,27,"To prohibit the provision of Federal funds to any State or local educational agency that denies or prevents participation in constitutionally-protected prayer in schools.     IN THE SENATE OF THE UNITED STATES  January 4, 1995",fail
25,28,"To protect the lives of unborn human beings, and for other purposes.",fail
26,29,"To amend title X of the Public Health Service Act to permit family planning projects to offer adoption services, and for other purposes.",fail
27,30,"To amend the Social Security Act to increase the earnings limit, to amend the Internal Revenue Code of 1986 to repeal the increase in the tax on social security benefits and to provide incentives for the purchase of long-term care insurance, and for other purposes.",fail
28,31,To amend title II of the Social Security Act to eliminate the earnings test for individuals who have attained retirement age.,fail
29,32,"To amend the Internal Revenue Code of 1986 to provide a tax credit for the production of oil and gas from existing marginal oil and gas wells and from new oil and gas wells.     IN THE SENATE OF THE UNITED STATES  January 4, 1995  Mr. Breaux (for himself and Mr. Johnston) introduced the following",fail
30,33,"To amend the Oil Pollution Act of 1990 to clarify the financial responsibility requirements for offshore facilities.     IN THE SENATE OF THE UNITED STATES  January 4, 1995  Mr. Breaux (for himself and Mr. Johnston) introduced the following bill; which was read twice and referred to the Committee on Environment",fail
31,34,"To amend the Internal Revenue Code of 1986 to treat geological, geophysical, and surface casing costs like intangible drilling and development costs, and for other purposes.",fail
32,35,To amend the Internal Revenue Code of 1986 to allow a tax credit for fuels produced from offshore deep-water projects.,fail
33,36,"To replace the Aid to Families with Dependent Children Program under title IV of the Social Security Act and a portion of the food stamp program under the Food Stamp Act of 1977 with a block grant to give the States the flexibility to create innovative welfare to work programs, and for other purposes.",fail
34,37,To terminate the Extremely Low Frequency Communication System of the Navy.,fail
35,38,"To amend the Violent Crime Control and Law Enforcement Act of 1994, and for other purposes.",fail
36,39,"To amend the Magnuson Fishery Conservation and Management Act to authorize appropriations, to provide for sustainable fisheries, and for other purposes.",success
37,40,"To direct the Secretary of the Army to transfer to the State of Wisconsin lands and improvements associated with the LaFarge Dam and Lake portion of the project for flood control and allied purposes, Kickapoo River, Wisconsin, and for other purposes.",fail
38,41,"For the relief of Wade Bomar, and for other purposes.",fail
39,42,To terminate the Uniformed Services University of the Health Sciences.,fail
40,43,To phase out Federal funding of the Tennessee Valley Authority.,fail
41,44,To amend title 4 of the United States Code to limit State taxation of certain pension income.,fail
42,45,"To amend the Helium Act to require the Secretary of the Interior to sell Federal real and personal property held in connection with activities carried out under the Helium Act, and for other purposes.",fail
43,46,"To amend the Federal Election Campaign Act of 1971 to provide for a voluntary system of spending limits and partial public financing of Senate primary and general election campaigns, to limit contributions by multicandidate political committees, and for other purposes.     IN THE SENATE OF THE UNITED STATES  January 4, 1995",fail
