,bill,title,label
0,1]>>,Be it enacted by the Senate and House of Representatives of the United States of America in Congress <<NOTE: Honest Leadership and,fail
1,2,To amend the Fair Labor Standards Act of 1938 to provide for an increase in the Federal minimum wage.,fail
2,3,To amend part D of title XVIII of the Social Security Act to provide for fair prescription drug prices for Medicare beneficiaries.,fail
3,4,"To make the United States more secure by implementing unfinished recommendations of the 9/11 Commission to fight the war on terror more effectively, to improve homeland security, and for other purposes.",fail
4,5,"One Hundred Tenth Congress  of the  United States of America   AT THE FIRST SESSION  Begun and held at the City of Washington on Thursday, the fourth day of January, two thousand and seven   An Act",fail
5,6,"To enhance the security of the United States by reducing the dependence of the United States on foreign and unsustainable energy sources and the risks of global warming, and for other purposes.",fail
6,7,"To amend title IV of the Higher Education Act of 1965 and other laws and provisions and urge Congress to make college more affordable through increased Federal Pell Grants and providing more favorable student loans and other benefits, and for other purposes.",fail
7,8,"To restore and enhance the capabilities of the Armed Forces, to enhance the readiness of the Armed Forces, to support the men and women of the Armed Forces, and for other purposes.",fail
8,9,"To recognize the heritage of the United States as a nation of immigrants and to amend the Immigration and Nationality Act to provide for more effective border and employment enforcement, to prevent illegal immigration, and to reform and rationalize avenues for legal immigration, and for other purposes.",fail
9,10,To reinstate the pay-as-you-go requirement and reduce budget deficits by strengthening budget enforcement and fiscal responsibility.,fail
10,11,"To provide liability protection to volunteer pilot nonprofit organizations that fly for public benefit and to the pilots and staff of such nonprofit organizations, and for other purposes.",fail
11,12,"To promote home ownership, manufacturing, and economic growth.",fail
12,13,To temporarily extend increases in certain home loan limits.,fail
13,14,"To repeal the sunset on certain tax rates and other incentives and to repeal the individual alternative minimum tax, and for other purposes.",fail
14,15,"To establish a new budget process to create a comprehensive plan to rein in spending, reduce the deficit, and regain control of the Federal budget process.",fail
15,16,To provide for certain land to be held in trust for the Burns Paiute Tribe.,fail
16,17,"To amend title II of the Social Security Act to allow workers who attain age 65 after 1981 and before 1992 to choose either lump sum payments over four years totalling $5,000 or an improved benefit computation formula under a new 10-year rule governing the transition to the changes in benefit computation rules enacted in the Social Security Amendments of 1977, and for other purposes.",fail
17,18,"To improve the authority of the Special Inspector General charged with overseeing the Troubled Asset Relief Program, and for other purposes.",fail
