,bill,title,label
0,1,"To establish an Election Administration Commission to study Federal, State, and local voting procedures and election administration and provide grants to modernize voting procedures and election administration, and for other purposes.",fail
1,2,To extend programs and activities under the Elementary and Secondary Education Act of 1965.,fail
2,3,To amend the Internal Revenue Code of 1986 to reduce individual income tax rates by 10 percent.,fail
3,4,To improve pay and retirement equity for members of the Armed Forces; and for other purposes.,fail
4,5,"To reduce the transportation and distribution of illegal drugs and to strengthen domestic demand reduction, and for other purposes.",fail
5,6,"To amend the Public Health Service Act, the Employee Retirement Income Security Act of 1974, and the Internal Revenue Code of 1986 to protect consumers in managed care plans and other health coverage.",fail
6,7,To modernize public schools for the 21st century.,fail
7,8,"To increase the Federal minimum wage, to repeal the marriage tax penalty, to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, to provide for pension reform, and to prohibit any changes to the pay-as-you-go rule in the Senate until Congress saves Social Security first.",fail
8,9,"To combat violent and gang-related crime in schools and on the streets, to reform the juvenile justice system, target international crime, promote effective drug and other crime prevention programs, assist crime victims, and for other purposes.",fail
9,10,"To provide health protection and needed assistance for older Americans, including access to health insurance for 55 to 65 year olds, assistance for individuals with long-term care needs, and social services for older Americans.",fail
10,11,For the relief of Wei Jingsheng.,success
11,12,"To amend the Internal Revenue Code of 1986 to eliminate the marriage penalty by providing that the income tax rate bracket amounts, and the amount of the standard deduction, for joint returns shall be twice the amounts applicable to unmarried individuals.",fail
12,13,To amend the Internal Revenue Code of 1986 to provide additional tax incentives for education.,fail
13,14,"To amend the Internal Revenue Code of 1986 to expand the use of education individual retirement accounts, and for other purposes.",fail
14,15,To amend the Internal Revenue Code of 1986 to provide that married couples may file a combined return under which each spouse is taxed using the rates applicable to unmarried individuals.,fail
15,16,To reform the Federal election campaign laws applicable to Congress.,fail
16,17,"To increase the availability, affordability, and quality of child care.",fail
17,18,To amend the Federal Meat Inspection Act and the Poultry Products Inspection Act to provide for improved public health and food safety through enhanced enforcement.,fail
18,19,"To restore an economic safety net for agricultural producers, to increase market transparency in agricultural markets domestically and abroad, and for other purposes.",fail
19,20,"To assist the States and local governments in assessing and remediating brownfield sites and encouraging environmental cleanup programs, and for other purposes.",fail
20,21,"To reduce social security payroll taxes, and for other purposes.",fail
21,22,"To provide for a system to classify information in the interests of national security and a system to declassify information, and for other purposes.",fail
22,23,"To promote a new urban agenda, and for other purposes.",fail
23,24,"To provide improved access to health care, enhance informed individual choice regarding health care services, lower health care costs through the use of appropriate providers, improve the quality of health care, improve access to long-term care, and for other purposes.",fail
24,25,"To provide Coastal Impact Assistance to State and local governments, to amend the Outer Continental Shelf Lands Act Amendments of 1978, the Land and Water Conservation Fund Act of 1965, the Urban Park and Recreation Recovery Act, and the Federal Aid in Wildlife Restoration Act (commonly referred to as the Pittman-Robertson Act) to establish a fund to meet the outdoor conservation and recreation needs of the",fail
25,26,Entitled the ``Bipartisan Campaign Reform Act of 1999''.,fail
26,27,To amend the Balanced Budget and Emergency Deficit Control Act of 1985 to extend and clarify the pay-as-you-go requirements regarding the Social Security trust funds.,fail
27,28,"To authorize an interpretive center and related visitor facilities within the Four Corners Monument Tribal Park, and for other purposes.",success
28,29,"To amend section 1086 of title 10, United States Code, to provide for payment under CHAMPUS of certain health care expenses incurred by certain members and former members of the uniformed services and their dependents to the extent that such expenses are not payable under Medicare, and for other purposes.",fail
29,30,"To provide countercyclical income loss protection to offset extreme losses resulting from severe economic and weather-related events, and for other purposes.",fail
30,31,"To amend title 1, United States Code, to clarify the effect and application of legislation.",fail
31,32,To eliminate a requirement for a unanimous verdict in criminal trials in Federal courts.,fail
32,33,To amend title II of the Americans with Disabilities Act of 1990 and section 504 of the Rehabilitation Act of 1973 to exclude prisoners from the requirements of that title and section.,fail
33,34,"To amend title 28, United States Code, to clarify the remedial jurisdiction of inferior Federal courts.",fail
34,35,To amend the Internal Revenue Code of 1986 to allow a deduction for the long-term care insurance costs of all individuals who are not eligible to participate in employer-subsidized long-term care health plans.,fail
35,36,"To amend title 5, United States Code, to provide for the establishment of a program under which long-term care insurance may be obtained by Federal employees and annuitants.",fail
36,37,To amend title XVIII of the Social Security Act to repeal the restriction on payment for certain hospital discharges to post-acute care imposed by section 4407 of the Balanced Budget Act of 1997.,fail
37,38,To amend the Internal Revenue Code of 1986 to phase out the estate and gift taxes over a 10-year period.,fail
38,39,"To provide a national medal for public safety officers who act with extraordinary valor above and beyond the call of duty, and for other purposes.",fail
39,40,To protect the lives of unborn human beings.,fail
40,41,To make it a violation of a right secured by the Constitution and laws of the United States to perform an abortion with the knowledge that the abortion is being performed solely because of the gender of the fetus.,fail
41,42,To amend title X of the Public Health Service Act to permit family planning projects to offer adoption services.,fail
42,43,To prohibit the provision of Federal funds to any State or local educational agency that denies or prevents participation in constitutional prayer in schools.,fail
43,44,"To amend the Gun-Free Schools Act of 1994 to require a local educational agency that receives funds under the Elementary and Secondary Education Act of 1965 to expel a student determined to be in possession of an illegal drug, or illegal drug paraphernalia, on school property, in addition to expelling a student determined to be in possession of a gun, and for other purposes.",fail
44,45,"To prohibit the executive branch of the Federal Government from establishing an additional class of individuals that is protected against discrimination in Federal employment, and for other purposes.",fail
45,46,"To amend the Civil Rights Act of 1964 to make preferential treatment an unlawful employment practice, and for other purposes.",fail
