,bill,title,label
0,1,"To create jobs, restore economic growth, and strengthen America's middle class through measures that modernize the nation's infrastructure, enhance America's energy independence, expand educational opportunities, preserve and improve affordable health care, provide tax relief, and protect those in greatest need, and for other purposes.",fail
1,2,To improve the lives of middle class families and provide them with greater opportunity to achieve the American dream.,fail
2,3,"To protect homeowners and consumers by reducing foreclosures, ensuring the availability of credit for homeowners, businesses, and consumers, and reforming the financial regulatory system, and for other purposes.",fail
3,4,"To guarantee affordable, quality health coverage for all Americans, and for other purposes.",fail
4,5,"To improve the economy and security of the United States by reducing the dependence of the United States on foreign and unsustainable energy sources and the risks of global warming, and for other purposes.",fail
5,6,To restore and enhance the national security of the United States.,fail
6,7,"To expand educational opportunities for all Americans by increasing access to high-quality early childhood education and after school programs, advancing reform in elementary and secondary education, strengthening mathematics and science instruction, and ensuring that higher education is more affordable, and for other purposes.",fail
7,8,To return the Government to the people by reviewing controversial ``midnight regulations'' issued in the waning days of the Bush Administration.,fail
8,9,"To strengthen the United States economy, provide for more effective border and employment enforcement, and for other purposes.",fail
9,10,"To restore fiscal discipline and begin to address the long-term fiscal challenges facing the United States, and for other purposes.",fail
10,11,"To restore the application of the 340B drug discount program to orphan drugs with respect to children's hospitals.     IN THE SENATE OF THE UNITED STATES  September 28, 2010  Mr. Brown of Massachusetts (for himself, Ms. Snowe, Mr. Bennett, Mr.",fail
11,12,"To require the Secretary of the Army to operate the Buford Dam/Lake Sidney Lanier Project, and for other purposes.     IN THE SENATE OF THE UNITED STATES  September 29, 2010  Mr. Isakson (for himself and Mr. Chambliss) introduced the following",fail
12,13,"To require the Secretary of the Army to calculate the aggregate withdrawals of non-Federal entities, and for other purposes.     IN THE SENATE OF THE UNITED STATES  September 29, 2010  Mr. Isakson (for himself and Mr. Chambliss) introduced the following",fail
13,14,"To ensure that women seeking an abortion are fully informed regarding the pain experienced by their unborn child.     IN THE SENATE OF THE UNITED STATES  September 29, 2010  Mr. Johanns (for himself, Mr. Brownback, Mr. McCain, Mr. Thune, Mr.",fail
14,15,"To amend the Internal Revenue Code of 1986 to provide a carbon sequestration investment tax credit, and for other purposes.     IN THE SENATE OF THE UNITED STATES  September 29, 2010  Mr. Brownback introduced the following bill; which was read twice and",fail
15,16,"To amend the Immigration and Nationality Act to remove the temporary suspension of waiver authority for participation in the Visa Waiver Program and for other purposes.     IN THE SENATE OF THE UNITED STATES  September 29, 2010",fail
16,17,"To provide for an exchange of land between the Department of Homeland Security and the South Carolina State Ports Authority.     IN THE SENATE OF THE UNITED STATES  September 29, 2010  Mr. Graham introduced the following bill; which was read twice and",fail
17,18,"To prohibit aliens who engage in certain activities with respect to Iran from being admitted into the United States, and for other purposes.     IN THE SENATE OF THE UNITED STATES  September 29, 2010",fail
18,19,"To amend the Energy Independence and Security Act of 2007 to promote energy security through the production of petroleum from oil sands, and for other purposes.     IN THE SENATE OF THE UNITED STATES  September 29, 2010",fail
19,20,"To amend the Public Utility Regulatory Policies Act of 1978 to establish a Federal clean energy standard.     IN THE SENATE OF THE UNITED STATES  September 29, 2010  Mr. Graham introduced the following bill; which was read twice and",fail
