,bill,title,label
0,1,[Report No. 107-7]  To extend programs and activities under the Elementary and Secondary Education Act of 1965.,fail
1,2,"To amend title XVIII of the Social Security Act to provide for a medicare voluntary prescription drug delivery program under the medicare program, to modernize the medicare program, and for other purposes.",fail
2,3,"To repeal the sunset of the provisions of the Economic Growth and Tax Relief Reconciliation Act of 2001, and for other purposes.",fail
3,4,To amend the Internal Revenue Code of 1986 to treat earnings on contributions to tax-deferred savings accounts as gain from the sale or exchange of a capital asset.,fail
4,5,"To strengthen and permanently preserve social security through the power of investment and compound interest without benefit reductions or tax increases, and for other purposes.     IN THE SENATE OF THE UNITED STATES  November 19, 2002  Mr. Gramm (for himself and Mr. Hagel) introduced the following bill;",fail
5,6,"To amend the Public Health Service Act, the Employee Retirement Income Security Act of 1974, and the Internal Revenue Code of 1986 to protect consumers in managed care plans and other health coverage.",fail
6,7,To improve public education for all children and support lifelong learning.,fail
7,8,"To improve the economic security of workers, and for other purposes.",fail
8,9,"To amend the Internal Revenue Code of 1986 to provide tax relief, and for other purposes.",fail
9,10,To amend title XVIII of the Social Security Act to provide coverage of outpatient prescription drugs under the medicare program.,fail
10,11,"To amend the Internal Revenue Code of 1986 to eliminate the marriage penalty by providing that the income tax rate bracket amounts, and the amount of the standard deduction, for joint returns shall be twice the amounts applicable to unmarried individuals, and for other purposes.",fail
11,12,"IN THE HOUSE OF REPRESENTATIVES  November 22, 2002  Referred to the Committee on International Relations, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned",fail
12,13,"IN THE HOUSE OF REPRESENTATIVES  November 22, 2002  Referred to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned",fail
13,14,"IN THE HOUSE OF REPRESENTATIVES  November 22, 2002  Referred to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned",fail
14,15,"To amend the Foreign Assistance Act of 1961 to increase assistance for foreign countries seriously affected by HIV/AIDS, tuberculosis, and malaria, and for other purposes.",fail
15,16,"To improve law enforcement, crime prevention, and victim assistance in the 21st century.     IN THE SENATE OF THE UNITED STATES  January 22, 2001  Mr. Daschle (for himself, Mr. Leahy, Mr. Biden, Mr. Schumer, Mr. Durbin, Mrs. Boxer, Mr. Breaux, Mrs. Clinton, Mr. Corzine, Mr.",fail
16,17,To amend the Federal Election Campaign Act of 1971 to provide bipartisan campaign reform.,fail
17,18,"To increase the availability and affordability of quality child care and early learning services, to amend the Family and Medical Leave Act of 1993 to expand the scope of the Act, and for other purposes.",fail
18,19,"To protect the civil rights of all Americans, and for other purposes.",fail
19,20,"To enhance fair and open competition in the production and sale of agricultural commodities, and for other purposes.",fail
20,21,To establish an off-budget lockbox to strengthen Social Security and Medicare.,fail
21,22,"To amend the Federal Election Campaign Act of 1971 to provide meaningful campaign finance reform through requiring better reporting, decreasing the role of soft money, and increasing individual contribution limits, and for other purposes.",fail
22,23,"To promote a new urban agenda, and for other purposes.",fail
